transaction_id,date,region,product_category,quantity,revenue,net_profit
TRX00001,2026-01-27,North America,Software,53,18677.2,16174.46
TRX00002,2026-06-06,Africa,Food,101,42191.74,35145.72
TRX00003,2026-05-18,Australia,Software,133,67115.79,60538.44
TRX00004,2026-05-16,South America,Appliances,106,23252.16,20299.14
TRX00005,2026-02-17,Europe,Clothing,115,36977.1,29914.47
TRX00006,2026-01-16,Asia,Furniture,66,32019.24,28176.93
TRX00007,2026-01-16,Africa,Food,104,69527.12,57916.09
TRX00008,2026-03-07,Asia,Food,143,96228.99,84681.51
TRX00009,2026-02-21,North America,Clothing,73,12305.61,10656.66
TRX00010,2026-03-29,Australia,Appliances,27,12522.6,11295.39
TRX00011,2026-04-07,Europe,Furniture,86,32704.94,26458.3
TRX00012,2026-02-22,Africa,Toys,60,18400.2,15327.37
TRX00013,2026-01-11,South America,Software,76,60613.04,52915.18
TRX00014,2026-03-16,South America,Clothing,133,98199.22,85727.92
TRX00015,2026-06-15,Europe,Toys,12,3373.68,2729.31
TRX00016,2026-03-18,Asia,Clothing,32,11183.04,9841.08
TRX00017,2026-03-21,South America,Books,130,90199.2,78743.9
TRX00018,2026-04-30,South America,Toys,143,92482.39,80737.13
TRX00019,2026-02-25,Asia,Software,0,57408.78,50519.73
TRX00020,2026-03-11,Australia,Furniture,42,3871.56,3492.15
TRX00021,2026-03-01,South America,Appliances,21,12665.52,11057.0
TRX00022,2026-04-15,Australia,Software,4,1956.72,1764.96
TRX00023,2026-04-12,Asia,Software,138,25977.12,22859.87
TRX00024,2026-06-30,Australia,Software,106,0.0,0.0
TRX00025,2026-03-23,South America,Clothing,68,1682.32,1468.67
TRX00026,2026-01-23,Asia,Furniture,138,64210.02,56504.82
TRX00027,2026-06-18,Australia,Books,130,60271.9,54365.25
TRX00028,2026-01-13,South America,Software,16,9720.32,8485.84
TRX00029,2026-04-26,North America,Furniture,117,12501.45,10826.26
TRX00030,2026-01-11,South America,Clothing,145,29700.35,25928.41
TRX00031,2026-03-28,South America,Clothing,66,11486.64,10027.84
TRX00032,2026-05-03,South America,Books,59,31490.66,27491.35
TRX00033,2026-05-16,Asia,Books,46,20165.02,17745.22
TRX00034,2026-03-18,South America,Appliances,76,46182.16,40317.03
TRX00035,2026-05-10,North America,Clothing,22,8528.52,7385.7
TRX00036,2026-02-01,North America,Appliances,32,8414.08,7286.59
TRX00037,2026-06-26,Africa,Books,48,20239.2,16859.25
TRX00038,2026-05-05,Europe,Software,121,65041.13,52618.27
TRX00039,2026-05-21,Africa,Toys,145,72442.0,60344.19
TRX00040,2026-06-27,Europe,Software,140,25628.4,20733.38
TRX00041,2026-03-18,Asia,Books,75,38091.0,33520.08
TRX00042,2026-01-24,Africa,Appliances,57,6779.58,5647.39
TRX00043,2026-02-08,South America,Electronics,59,38421.39,33541.87
TRX00044,2026-04-28,Asia,Clothing,53,28243.17,24853.99
TRX00045,2026-03-09,Australia,Books,48,18904.32,17051.7
TRX00046,2026-02-17,Europe,Appliances,145,17323.15,14014.43
TRX00047,2026-03-23,Asia,Software,15,4662.3,4102.82
TRX00048,2026-04-10,South America,Furniture,111,64443.27,56258.97
TRX00049,2026-01-14,South America,Furniture,42,20346.06,17762.11
TRX00050,2026-06-20,Unknown_Region,Food,102,10788.54,10788.54
TRX00051,2026-04-29,Australia,Furniture,35,20693.05,18665.13
TRX00052,2026-02-18,South America,Electronics,58,31973.66,27913.01
TRX00053,2026-05-12,South America,Clothing,59,2701.61,2358.51
TRX00054,2026-04-21,Africa,Toys,35,23328.2,19432.39
TRX00055,2026-01-06,Europe,Furniture,99,25756.83,20837.28
TRX00056,2026-03-23,South America,Appliances,98,0.0,0.0
TRX00057,2026-01-05,Europe,Clothing,52,13888.16,11235.52
TRX00058,2026-01-11,Europe,Electronics,54,5936.76,4802.84
TRX00059,2026-06-09,Asia,Electronics,138,93688.2,82445.62
TRX00060,2026-01-17,North America,Software,22,6418.5,5558.42
TRX00061,2026-05-06,Africa,Appliances,128,0.0,0.0
TRX00062,2026-04-24,North America,Furniture,82,44568.64,38596.44
TRX00063,2026-02-23,Europe,Toys,50,0.0,0.0
TRX00064,2026-03-08,Europe,Furniture,0,17988.28,14552.52
